date,open,high,low,close,volume
2020-01-02,445.0,446.0,440.5,441.5,6237434
2020-01-03,445.0,445.5,423.0,434.5,12375266
2020-01-06,428.0,431.5,424.0,424.0,8520516
2020-01-07,428.0,431.0,418.0,426.0,11707155
2020-01-08,426.0,436.5,424.0,430.5,9695448
2020-01-09,435.0,439.0,432.5,437.0,7061194
2020-01-10,439.5,441.0,426.0,432.0,7882248
2020-01-13,432.0,435.0,422.0,422.0,10239998
2020-01-14,422.5,424.5,412.5,416.0,19437055
2020-01-15,409.0,419.0,406.5,416.0,26086092
2020-01-16,419.0,423.5,415.0,421.0,13075722
2020-01-17,428.0,428.0,418.5,420.5,8818316
2020-01-20,421.0,422.0,417.0,419.0,6172773
2020-01-30,400.0,400.5,382.5,383.5,22330256
2020-01-31,385.0,393.0,382.0,388.0,10439123
2020-02-03,376.5,387.0,373.0,382.0,10641830
2020-02-04,384.0,396.5,384.0,390.5,9511276
2020-02-05,390.5,390.5,378.5,381.0,16355382
2020-02-06,381.0,390.5,380.0,382.0,10507866
2020-02-07,380.5,385.5,379.0,381.0,10226510
2020-02-10,377.5,386.5,375.0,380.0,11049172
2020-02-11,382.0,391.5,382.0,390.0,11384133
2020-02-12,398.0,403.5,395.0,401.5,13600808
2020-02-13,408.5,412.0,406.5,408.5,15526270
2020-02-14,407.0,408.0,403.5,405.5,9177582
2020-02-17,397.5,399.5,394.0,398.0,9237824
2020-02-18,394.0,396.5,392.0,392.0,7500223
2020-02-19,395.0,396.0,387.5,388.5,9008260
2020-02-20,391.5,394.0,387.5,394.0,8177571
2020-02-21,394.0,394.0,388.0,388.0,7800080
2020-02-24,382.5,384.5,376.0,377.0,13117425
2020-02-25,374.5,383.0,371.0,378.5,10230047
2020-02-26,375.0,380.0,373.0,375.0,10994144
2020-02-27,376.0,378.0,360.0,360.0,14733370
2020-03-02,356.0,368.0,353.5,363.0,11727602
2020-03-03,373.0,378.5,371.0,372.0,10014005
2020-03-04,371.5,372.5,364.0,370.5,10894688
2020-03-05,377.5,385.0,376.0,385.0,11305601
2020-03-06,380.0,382.5,376.5,378.5,7682406
2020-03-09,368.5,371.0,361.0,366.5,11652891
2020-03-10,363.5,373.5,362.0,373.5,11832469
2020-03-11,373.5,377.0,362.0,363.0,9371669
2020-03-12,356.0,358.5,336.0,336.0,19312208
2020-03-13,307.5,348.0,305.0,341.0,23633277
2020-03-16,333.0,342.5,320.0,320.0,12157253
2020-03-17,308.0,328.5,308.0,315.5,14400860
2020-03-18,315.5,321.5,301.5,301.5,14131612
2020-03-19,291.0,298.5,273.0,274.0,25712419
2020-03-20,296.0,301.0,287.0,301.0,17586676
2020-03-23,307.0,314.0,296.0,308.0,21198004
2020-03-24,336.0,338.5,326.0,330.0,13447078
2020-03-25,348.0,353.0,330.0,334.5,20283591
2020-03-26,339.0,345.0,328.0,343.5,11554093
2020-03-27,359.5,359.5,336.5,340.0,13224545
2020-03-30,329.5,336.5,323.0,336.5,11164349
2020-03-31,339.0,343.5,326.0,327.5,10956002
2020-04-01,333.0,334.0,325.5,334.0,6677209
2020-04-06,346.0,346.0,336.5,341.0,8234391
2020-04-07,348.0,350.0,346.0,347.0,10214322
2020-04-08,346.0,352.0,345.0,349.5,6885590
2020-04-09,356.0,356.0,347.5,351.5,8237776
2020-04-10,352.5,352.5,348.0,350.0,6619621
2020-04-13,349.0,354.5,348.5,351.5,7148004
2020-04-14,354.0,368.5,353.5,365.5,13578196
2020-04-15,370.0,370.5,363.5,365.5,8890815
2020-04-16,361.0,365.5,360.5,361.5,6871648
2020-04-17,379.0,379.0,363.0,368.0,13317197
2020-04-20,371.0,373.5,366.5,370.0,5979488
2020-04-21,367.0,367.0,352.0,353.5,11421460
2020-04-22,350.0,352.0,342.0,346.0,12142371
2020-04-23,347.5,351.0,344.0,351.0,8791011
2020-04-24,351.0,353.0,348.0,348.5,6025467
2020-04-27,357.0,374.0,355.5,372.0,13194986
2020-04-28,374.5,375.0,363.5,375.0,10769852
2020-04-29,400.0,400.0,386.5,398.0,31507975
2020-04-30,412.0,415.5,405.0,415.0,22045679
2020-05-04,404.0,405.0,398.0,399.5,11748303
2020-05-05,403.5,405.5,396.0,401.5,7287899
2020-05-06,405.0,409.5,401.5,408.0,10340772
2020-05-07,412.0,415.0,411.0,411.0,8184230
2020-05-08,415.0,418.0,411.5,411.5,6884964
2020-05-11,415.5,415.5,407.0,410.0,6480940
2020-05-12,408.0,409.5,404.0,407.0,5093041
2020-05-13,408.5,420.0,407.0,420.0,11287740
2020-05-14,417.0,419.0,406.5,411.0,8304088
2020-05-15,414.0,415.5,404.5,411.0,5826797
2020-05-18,452.0,452.0,436.5,440.5,25672990
2020-05-19,462.5,464.0,458.0,462.0,23381164
2020-05-20,467.0,479.0,464.0,470.0,18969567
2020-05-21,470.0,472.0,460.5,464.5,9455736
2020-05-22,446.5,455.0,440.0,442.0,15484024
2020-05-25,451.5,460.0,449.0,460.0,11364742
2020-05-26,460.0,468.0,458.0,460.0,6684259
2020-05-27,465.0,466.0,459.5,464.5,8859230
2020-05-28,468.0,469.0,453.5,460.0,10968535
2020-05-29,460.0,467.0,453.5,463.0,9592183
2020-06-01,468.0,470.0,460.0,461.5,8808266
2020-06-02,488.0,490.5,479.5,485.0,17040745
2020-06-03,492.0,493.5,487.0,490.0,9783845
2020-06-04,485.0,493.0,482.0,490.0,8538190
2020-06-05,493.0,497.5,491.0,494.0,8958917
2020-06-08,495.5,505.0,493.0,494.5,9669114
2020-06-09,491.0,499.5,487.5,497.5,7942284
2020-06-10,495.5,503.0,495.0,500.0,6677972
2020-06-11,500.0,509.0,496.0,496.5,11175186
2020-06-12,473.0,495.5,473.0,492.5,12644920
2020-06-15,498.0,505.0,492.5,492.5,7204482
2020-06-16,492.0,510.0,491.5,510.0,11665647
2020-06-17,511.0,516.0,505.0,510.0,7132179
2020-06-18,515.0,515.0,508.0,513.0,5601592
2020-06-19,520.0,560.0,518.0,546.0,22189522
2020-06-22,553.0,576.0,546.0,576.0,17896887
2020-06-23,580.0,594.0,558.0,574.0,16106824
2020-06-24,572.0,584.0,568.0,580.0,9137582
2020-06-29,566.0,576.0,563.0,565.0,12360207
2020-06-30,569.0,579.0,568.0,579.0,9477547
2020-07-01,590.0,594.0,575.0,577.0,7704668
2020-07-02,577.0,582.0,573.0,574.0,6031098
2020-07-03,575.0,587.0,575.0,585.0,8709502
2020-07-06,587.0,589.0,580.0,589.0,7257983
2020-07-07,598.0,632.0,595.0,618.0,19739242
2020-07-08,629.0,674.0,625.0,661.0,23384399
2020-07-09,661.0,663.0,640.0,651.0,17228954
2020-07-10,641.0,647.0,616.0,616.0,17015547
2020-07-13,626.0,639.0,618.0,629.0,10446840
2020-07-14,627.0,628.0,610.0,611.0,9446920
2020-07-15,612.0,618.0,598.0,609.0,14729162
2020-07-16,601.0,612.0,599.0,599.0,7417218
2020-07-17,598.0,608.0,596.0,607.0,8994459
2020-07-20,609.0,611.0,590.0,601.0,9008151
2020-07-21,612.0,643.0,612.0,637.0,15777808
2020-07-22,659.0,670.0,651.0,664.0,17852109
2020-07-23,658.0,687.0,653.0,677.0,17793987
2020-07-24,677.0,703.0,670.0,675.0,24419901
2020-07-27,695.0,737.0,691.0,728.0,21431219
2020-07-28,741.0,763.0,680.0,680.0,36378539
2020-07-29,683.0,694.0,667.0,682.0,14628939
2020-07-30,686.0,694.0,670.0,683.0,13796896
2020-07-31,678.0,707.0,670.0,701.0,15072563
2020-08-03,743.0,743.0,695.0,696.0,25733096
2020-08-04,703.0,732.0,700.0,732.0,19275303
2020-08-05,735.0,739.0,722.0,730.0,13153226
2020-08-06,736.0,753.0,730.0,732.0,12890678
2020-08-07,730.0,736.0,704.0,705.0,14627882
2020-08-10,696.0,714.0,696.0,706.0,11142754
2020-08-11,698.0,708.0,691.0,693.0,9919208
2020-08-12,684.0,690.0,674.0,680.0,11143131
2020-08-13,700.0,702.0,671.0,684.0,11410405
2020-08-14,670.0,683.0,670.0,680.0,9672925
2020-08-17,684.0,689.0,677.0,685.0,6056362
2020-08-18,617.0,642.0,617.0,617.0,42389663
2020-08-19,618.0,626.0,605.0,609.0,23597107
2020-08-20,603.0,611.0,551.0,565.0,34547307
2020-08-21,583.0,606.0,581.0,604.0,21528784
2020-08-24,599.0,600.0,583.0,585.0,14910954
2020-08-25,592.0,594.0,584.0,589.0,9904789
2020-08-26,585.0,586.0,573.0,578.0,10781130
2020-08-27,583.0,586.0,555.0,558.0,15405596
2020-08-28,558.0,575.0,553.0,574.0,13150295
2020-08-31,580.0,583.0,552.0,556.0,17151699
2020-09-01,559.0,577.0,553.0,576.0,11319355
2020-09-02,605.0,609.0,590.0,596.0,18844801
2020-09-03,614.0,615.0,598.0,603.0,13567883
2020-09-04,589.0,610.0,582.0,603.0,13800424
2020-09-07,608.0,613.0,593.0,598.0,7096189
2020-09-08,602.0,614.0,598.0,604.0,6683057
2020-09-09,594.0,599.0,586.0,595.0,10536718
2020-09-10,601.0,607.0,598.0,599.0,7308603
2020-09-11,598.0,603.0,586.0,595.0,7837495
2020-09-14,596.0,610.0,589.0,609.0,8675428
2020-09-15,609.0,614.0,603.0,611.0,8056558
2020-09-16,618.0,628.0,616.0,617.0,10738991
2020-09-17,610.0,611.0,593.0,599.0,12572944
2020-09-18,599.0,611.0,591.0,611.0,11402876
2020-09-21,614.0,624.0,610.0,616.0,8306351
2020-09-22,614.0,615.0,602.0,603.0,7641728
2020-09-23,609.0,619.0,609.0,617.0,6545842
2020-09-24,606.0,616.0,600.0,600.0,8632965
2020-09-25,605.0,608.0,581.0,585.0,9004337
2020-09-28,583.0,607.0,581.0,603.0,8878900
2020-09-29,606.0,614.0,606.0,610.0,6297334
2020-09-30,615.0,618.0,607.0,607.0,6064893
2020-10-05,614.0,617.0,610.0,611.0,5000804
2020-10-06,618.0,619.0,612.0,615.0,3949603
2020-10-07,617.0,658.0,613.0,647.0,17770203
2020-10-08,660.0,677.0,650.0,670.0,15705367
2020-10-12,710.0,722.0,699.0,714.0,22052450
2020-10-13,712.0,712.0,693.0,699.0,7971165
2020-10-14,692.0,698.0,687.0,689.0,6302855
2020-10-15,693.0,707.0,689.0,689.0,7045919
2020-10-16,689.0,695.0,680.0,680.0,5020630
2020-10-19,683.0,695.0,683.0,692.0,3933553
2020-10-20,688.0,697.0,683.0,697.0,4936501
2020-10-21,704.0,710.0,687.0,691.0,5171741
2020-10-22,688.0,696.0,685.0,688.0,5130155
2020-10-23,689.0,694.0,678.0,678.0,4854113
2020-10-26,680.0,686.0,672.0,674.0,4340545
2020-10-27,674.0,688.0,672.0,685.0,6628379
2020-10-28,685.0,689.0,675.0,681.0,6124573
2020-10-29,670.0,687.0,666.0,684.0,4542886
2020-10-30,678.0,682.0,670.0,678.0,6389520
2020-11-02,690.0,690.0,650.0,653.0,14039866
2020-11-03,661.0,676.0,660.0,665.0,8279509
2020-11-04,671.0,685.0,661.0,677.0,9310114
2020-11-05,685.0,696.0,679.0,696.0,11771407
2020-11-06,701.0,704.0,692.0,700.0,7383559
2020-11-09,710.0,714.0,693.0,702.0,6643292
2020-11-10,702.0,702.0,681.0,686.0,6061984
2020-11-11,662.0,682.0,662.0,676.0,8075443
2020-11-12,677.0,683.0,671.0,673.0,4845993
2020-11-13,671.0,677.0,667.0,675.0,4707048
2020-11-16,685.0,695.0,681.0,694.0,6340597
2020-11-17,701.0,703.0,691.0,696.0,6537087
2020-11-18,702.0,728.0,701.0,728.0,21267800
2020-11-19,732.0,738.0,727.0,733.0,9175800
2020-11-20,732.0,754.0,723.0,747.0,11660336
2020-11-23,754.0,758.0,738.0,743.0,7122453
2020-11-24,752.0,752.0,734.0,742.0,5788982
2020-11-25,746.0,748.0,724.0,724.0,7168939
2020-11-26,733.0,737.0,725.0,730.0,3674272
2020-11-27,725.0,731.0,721.0,725.0,3520339
2020-11-30,711.0,718.0,703.0,704.0,14282872
2020-12-01,700.0,708.0,693.0,697.0,8546033
2020-12-02,706.0,717.0,695.0,712.0,8951519
2020-12-03,715.0,715.0,698.0,700.0,7043862
2020-12-04,700.0,707.0,696.0,705.0,5447920
2020-12-07,705.0,708.0,695.0,704.0,5507847
2020-12-08,703.0,731.0,702.0,730.0,10092358
2020-12-09,735.0,746.0,730.0,734.0,7934850
2020-12-10,730.0,730.0,706.0,709.0,7890093
2020-12-11,720.0,722.0,701.0,707.0,7743157
2020-12-14,706.0,710.0,699.0,702.0,3923653
2020-12-15,702.0,706.0,696.0,701.0,5126489
2020-12-16,711.0,714.0,701.0,701.0,6278334
2020-12-17,703.0,711.0,699.0,704.0,6085006
2020-12-18,704.0,708.0,699.0,699.0,4932935
2020-12-21,698.0,708.0,689.0,708.0,5459098
2020-12-22,708.0,722.0,703.0,703.0,6455645
2020-12-23,708.0,722.0,705.0,720.0,5391073
2020-12-24,724.0,725.0,714.0,714.0,3363422
2020-12-25,720.0,722.0,712.0,715.0,2222300
2020-12-28,724.0,741.0,723.0,740.0,10682986
2020-12-29,741.0,746.0,734.0,734.0,4621472
2020-12-30,740.0,746.0,735.0,746.0,5673669
2020-12-31,747.0,753.0,742.0,747.0,4667590
2021-01-04,755.0,798.0,752.0,792.0,14143143
2021-01-05,796.0,804.0,775.0,797.0,9450974
2021-01-06,802.0,814.0,785.0,792.0,9331483
2021-01-07,794.0,808.0,785.0,799.0,7755897
2021-01-08,810.0,844.0,802.0,838.0,13336420
2021-01-11,843.0,856.0,835.0,851.0,8031597
2021-01-12,857.0,868.0,842.0,846.0,10441036
2021-01-13,855.0,899.0,850.0,884.0,16971279
2021-01-14,872.0,881.0,854.0,861.0,11667769
2021-01-15,878.0,882.0,842.0,850.0,9997448
2021-01-18,850.0,851.0,817.0,844.0,9010949
2021-01-19,861.0,880.0,854.0,879.0,8072808
2021-01-20,885.0,898.0,870.0,872.0,11111720
2021-01-21,890.0,935.0,888.0,934.0,17720132
2021-01-22,914.0,946.0,908.0,917.0,16584582
2021-01-25,917.0,925.0,891.0,910.0,9057069
2021-01-26,914.0,922.0,871.0,871.0,10311306
2021-01-27,881.0,905.0,871.0,897.0,11567263
2021-01-28,866.0,880.0,863.0,869.0,18167308
2021-01-29,889.0,903.0,875.0,875.0,18258898
2021-02-01,886.0,909.0,875.0,905.0,13638526
2021-02-02,925.0,952.0,920.0,931.0,14757663
2021-02-03,947.0,959.0,942.0,950.0,11707296
2021-02-04,933.0,953.0,915.0,946.0,13251920
2021-02-05,955.0,987.0,950.0,950.0,15508268
2021-02-17,1000.0,1010.0,971.0,980.0,11965819
2021-02-18,980.0,987.0,968.0,978.0,6379963
2021-02-19,971.0,975.0,953.0,964.0,7991437
2021-02-22,972.0,980.0,951.0,951.0,7565200
2021-02-23,945.0,968.0,932.0,965.0,8565124
2021-02-24,948.0,967.0,940.0,940.0,8417401
2021-02-25,950.0,955.0,930.0,944.0,8044929
2021-02-26,923.0,931.0,896.0,896.0,15572480
2021-03-02,920.0,939.0,900.0,900.0,14215554
2021-03-03,915.0,930.0,895.0,930.0,9625941
2021-03-04,919.0,919.0,895.0,897.0,12469716
2021-03-05,877.0,892.0,870.0,883.0,10585927
2021-03-08,901.0,909.0,866.0,867.0,9984494
2021-03-09,860.0,885.0,854.0,879.0,9503232
2021-03-10,890.0,892.0,860.0,864.0,9564427
2021-03-11,869.0,895.0,865.0,888.0,9536535
2021-03-12,900.0,915.0,892.0,899.0,8342109
2021-03-15,900.0,914.0,900.0,907.0,6870767
2021-03-16,917.0,919.0,906.0,919.0,6819333
2021-03-17,924.0,925.0,902.0,908.0,6095656
2021-03-18,914.0,920.0,903.0,903.0,4643748
2021-03-19,895.0,896.0,880.0,885.0,7815136
2021-03-22,880.0,891.0,872.0,881.0,7242365
2021-03-23,890.0,892.0,870.0,870.0,8634587
