ticket_id,flight_id,booking_time,flight_date,customer_id,fare_class,base_fare,taxes,total_fare,booking_channel,days_to_departure_at_booking
0,0,2024-10-11 15:47:25,2025-01-01 00:00:00,6745548244,E,88.78,7.72,96.5,agent,81
1,0,2024-12-21 22:29:32,2025-01-01 00:00:00,8115733713,P,115.41,10.04,125.45,agent,10
2,0,2024-08-07 08:00:05,2025-01-01 00:00:00,147449696,F,177.56,15.44,193.0,agent,146
3,0,2024-06-06 20:03:14,2025-01-01 00:00:00,672232724,E,88.78,7.72,96.5,agent,208
4,0,2024-11-25 05:57:52,2025-01-01 00:00:00,1767833703,F,177.56,15.44,193.0,web,36
5,0,2024-11-25 05:57:52,2025-01-01 00:00:00,1624866310,B,150.93,13.12,164.05,agent,36
6,0,2024-11-25 05:57:52,2025-01-01 00:00:00,1170093162,P,115.41,10.04,125.45,web,36
7,0,2024-11-25 05:57:52,2025-01-01 00:00:00,830080568,E,88.78,7.72,96.5,mobile_app,36
8,0,2024-12-21 07:51:41,2025-01-01 00:00:00,7102163549,E,88.78,7.72,96.5,agent,10
9,0,2024-10-12 11:00:08,2025-01-01 00:00:00,802178327,E,88.78,7.72,96.5,web,80
10,0,2024-08-02 22:22:00,2025-01-01 00:00:00,961246512,E,88.78,7.72,96.5,agent,151
11,0,2024-09-24 10:02:38,2025-01-01 00:00:00,1694714137,E,88.78,7.72,96.5,agent,98
12,0,2024-10-09 10:45:05,2025-01-01 00:00:00,9699218825,F,177.56,15.44,193.0,agent,83
13,0,2024-10-09 10:45:05,2025-01-01 00:00:00,337295132,P,115.41,10.04,125.45,mobile_app,83
14,0,2024-06-19 17:30:52,2025-01-01 00:00:00,970946717,E,88.78,7.72,96.5,agent,195
15,0,2024-07-26 05:19:06,2025-01-01 00:00:00,5833340348,B,150.93,13.12,164.05,agent,158
16,0,2024-09-23 01:13:58,2025-01-01 00:00:00,1179644911,E,88.78,7.72,96.5,web,99
17,0,2024-11-12 20:19:51,2025-01-01 00:00:00,504977298,P,115.41,10.04,125.45,mobile_app,49
18,0,2024-12-11 04:44:52,2025-01-01 00:00:00,1961394383,E,88.78,7.72,96.5,agent,20
19,0,2024-12-11 04:44:52,2025-01-01 00:00:00,1635661534,E,88.78,7.72,96.5,web,20
20,0,2024-05-17 07:56:14,2025-01-01 00:00:00,1573860152,E,88.78,7.72,96.5,mobile_app,228
21,0,2024-07-17 09:33:32,2025-01-01 00:00:00,2053146688,B,150.93,13.12,164.05,web,167
22,0,2024-07-17 09:33:32,2025-01-01 00:00:00,7966243343,E,88.78,7.72,96.5,web,167
23,0,2024-09-30 05:05:44,2025-01-01 00:00:00,507596211,E,88.78,7.72,96.5,agent,92
24,0,2024-12-27 23:59:34,2025-01-01 00:00:00,8675234900,E,88.78,7.72,96.5,agent,4
25,0,2024-07-25 07:55:23,2025-01-01 00:00:00,7490882444,E,88.78,7.72,96.5,agent,159
26,0,2024-11-10 04:23:30,2025-01-01 00:00:00,1599991909,P,115.41,10.04,125.45,web,51
27,0,2024-08-25 21:38:50,2025-01-01 00:00:00,1405064657,E,88.78,7.72,96.5,web,128
28,0,2024-06-17 10:34:20,2025-01-01 00:00:00,669620164,P,115.41,10.04,125.45,agent,197
29,0,2024-10-02 08:23:23,2025-01-01 00:00:00,1328005114,E,88.78,7.72,96.5,web,90
30,0,2024-10-06 22:01:33,2025-01-01 00:00:00,4206712900,P,115.41,10.04,125.45,web,86
31,0,2024-06-26 23:18:43,2025-01-01 00:00:00,22960305,E,88.78,7.72,96.5,web,188
32,0,2024-10-28 12:15:29,2025-01-01 00:00:00,818230220,E,88.78,7.72,96.5,web,64
33,0,2024-12-13 19:10:05,2025-01-01 00:00:00,1159662202,E,88.78,7.72,96.5,agent,18
34,0,2024-12-13 19:10:05,2025-01-01 00:00:00,857525619,E,88.78,7.72,96.5,agent,18
35,0,2024-12-29 20:18:33,2025-01-01 00:00:00,2015297886,P,115.41,10.04,125.45,web,2
36,0,2024-08-14 17:08:04,2025-01-01 00:00:00,1574558639,P,115.41,10.04,125.45,web,139
37,0,2024-09-28 11:38:10,2025-01-01 00:00:00,1179644911,E,88.78,7.72,96.5,web,94
38,0,2024-09-28 11:38:10,2025-01-01 00:00:00,1849359606,P,115.41,10.04,125.45,web,94
39,0,2024-09-28 11:38:10,2025-01-01 00:00:00,872482820,E,88.78,7.72,96.5,web,94
40,0,2024-11-02 06:00:02,2025-01-01 00:00:00,5683834903,E,88.78,7.72,96.5,agent,59
41,0,2024-10-04 14:58:15,2025-01-01 00:00:00,1177273468,E,88.78,7.72,96.5,mobile_app,88
42,0,2024-09-11 07:56:23,2025-01-01 00:00:00,2055195730,P,115.41,10.04,125.45,web,111
43,0,2024-12-23 04:27:32,2025-01-01 00:00:00,1066877461,E,88.78,7.72,96.5,web,8
44,0,2024-06-21 17:25:56,2025-01-01 00:00:00,1232746583,P,115.41,10.04,125.45,agent,193
45,0,2024-08-31 06:56:08,2025-01-01 00:00:00,979299274,P,115.41,10.04,125.45,agent,122
46,0,2024-08-31 06:56:08,2025-01-01 00:00:00,1227518388,E,88.78,7.72,96.5,web,122
