date,open,high,low,close,volume
2019-01-02,226.5,226.5,219.0,219.5,32900482
2019-01-03,214.0,218.0,214.0,215.5,34615620
2019-01-04,211.5,211.5,206.5,208.0,67043521
2019-01-07,212.0,214.0,211.0,213.0,35695176
2019-01-08,212.0,212.5,210.0,211.0,23794481
2019-01-09,212.0,216.5,211.0,215.5,51255446
2019-01-10,216.0,216.5,214.5,216.0,20832593
2019-01-11,219.0,220.5,218.0,220.5,28658288
2019-01-14,218.5,220.0,217.0,218.5,17612296
2019-01-15,216.5,221.0,215.5,221.0,42990923
2019-01-16,218.5,220.0,217.5,217.5,30038282
2019-01-17,218.0,221.0,218.0,220.5,21163986
2019-01-18,219.0,220.0,217.5,218.5,52677569
2019-01-21,220.0,223.0,220.0,221.0,32515866
2019-01-22,220.0,223.0,219.0,223.0,30958483
2019-01-23,221.5,222.0,220.0,220.5,18671213
2019-01-24,222.5,222.5,220.5,222.5,31348924
2019-01-25,226.5,227.0,225.0,226.0,48039764
2019-01-28,229.5,229.5,228.0,229.0,29134257
2019-01-29,222.5,225.0,222.0,222.5,42566520
2019-01-30,220.5,221.5,220.0,221.0,51889945
2019-02-11,228.0,229.0,226.5,228.0,81360106
2019-02-12,230.0,230.0,229.0,230.0,30125670
2019-02-13,232.0,232.0,228.5,229.0,28634925
2019-02-14,229.5,230.0,226.0,227.0,23647751
2019-02-15,229.0,229.0,226.5,227.0,22369799
2019-02-18,229.0,230.5,228.5,230.0,18163916
2019-02-19,230.0,230.5,229.0,229.0,18423023
2019-02-20,231.5,234.5,231.0,234.5,31887710
2019-02-21,235.5,236.5,234.5,236.5,34013489
2019-02-22,235.5,236.5,234.0,236.5,22032163
2019-02-25,237.5,239.0,236.0,238.0,25227138
2019-02-26,239.0,240.0,236.5,239.5,24586789
2019-02-27,238.5,239.5,237.0,239.0,37947889
2019-03-04,239.5,239.5,234.5,235.5,45164513
2019-03-05,234.0,234.5,232.5,233.0,23708407
2019-03-06,235.0,235.5,233.5,234.0,20811226
2019-03-07,235.0,235.0,233.0,234.0,17226192
2019-03-08,231.0,231.5,229.0,230.0,22535659
2019-03-11,228.0,230.5,227.5,230.5,34282793
2019-03-12,233.0,237.0,232.5,235.5,23839972
2019-03-13,234.0,237.0,234.0,237.0,22493195
2019-03-14,239.0,239.0,234.0,234.5,17281356
2019-03-15,237.0,239.5,235.5,239.0,34542729
2019-03-18,239.5,241.0,239.0,241.0,27040532
2019-03-19,239.0,240.5,238.0,240.5,14620009
2019-03-20,242.0,242.0,239.5,242.0,23055971
2019-03-21,242.5,245.5,241.0,245.5,27514502
2019-03-22,248.0,248.5,244.5,248.5,22996467
2019-03-25,240.5,243.5,240.5,241.5,19273254
2019-03-26,243.0,244.0,241.0,244.0,21053170
2019-03-27,242.0,242.5,240.5,241.5,23622089
2019-03-28,240.5,242.5,240.0,242.0,13998054
2019-03-29,243.0,245.5,240.5,245.5,31024810
2019-04-01,251.0,251.0,245.0,245.5,35330656
2019-04-02,249.5,249.5,246.0,246.0,25189053
2019-04-03,249.0,249.0,246.5,246.5,28581323
2019-04-08,251.0,253.0,250.5,253.0,46426821
2019-04-09,253.0,254.0,252.0,254.0,22745674
2019-04-10,253.0,254.5,252.0,254.0,33174934
2019-04-11,253.0,254.0,251.5,252.0,25146840
2019-04-12,251.5,253.0,251.0,252.0,13888148
2019-04-15,255.0,256.0,254.0,255.5,17257002
2019-04-16,257.0,257.0,255.5,257.0,20231648
2019-04-17,260.0,263.0,259.5,261.5,39037191
2019-04-18,264.0,266.0,263.5,264.5,48525490
2019-04-19,269.0,269.5,263.5,264.5,47698699
2019-04-22,266.5,267.5,265.0,266.0,24967393
2019-04-23,266.5,268.0,266.0,268.0,26251847
2019-04-24,270.0,270.0,267.5,269.0,37386755
2019-04-25,268.5,269.0,267.0,267.5,36572455
2019-04-26,262.0,263.0,257.5,260.0,51743804
2019-04-29,260.0,262.0,258.5,259.5,32651618
2019-04-30,260.0,260.5,258.0,259.0,40446419
2019-05-02,261.5,262.5,258.5,259.0,27376394
2019-05-03,262.0,265.0,260.5,265.0,30200246
2019-05-06,260.0,260.0,258.0,259.0,33688187
2019-05-07,259.5,263.0,259.0,262.5,25686126
2019-05-08,260.0,261.5,259.5,260.0,25902364
2019-05-09,259.5,259.5,256.0,256.5,34166574
2019-05-10,257.0,259.0,255.0,256.0,18868212
2019-05-13,253.0,254.0,249.5,250.5,29317535
2019-05-14,247.5,251.0,245.0,248.5,45620708
2019-05-15,251.0,252.0,249.0,249.0,37223479
2019-05-16,248.5,249.5,246.0,247.0,30331519
2019-05-17,249.0,249.0,241.5,241.5,40006856
2019-05-20,242.5,243.0,238.0,238.0,47097661
2019-05-21,233.5,236.0,232.5,234.0,82872775
2019-05-22,236.5,240.5,235.5,238.0,36289034
2019-05-23,233.5,233.5,230.0,230.0,62258627
2019-05-24,230.0,234.0,230.0,233.0,38226789
2019-05-27,234.0,235.0,231.0,231.0,37447033
2019-05-28,232.0,232.0,230.5,230.5,99322033
2019-05-29,228.0,230.5,227.0,229.5,32260236
2019-05-30,230.0,231.5,229.0,231.0,40375328
2019-05-31,232.0,237.5,231.0,235.5,49163217
2019-06-03,235.5,238.5,232.0,238.0,36687092
2019-06-04,237.5,238.0,233.0,233.0,24443428
2019-06-05,238.0,238.0,234.0,235.0,35901584
2019-06-06,231.5,232.0,229.5,232.0,34651731
2019-06-10,237.5,240.0,234.5,240.0,35521888
2019-06-11,240.0,246.0,239.0,244.5,34691670
2019-06-12,244.5,247.5,243.0,246.0,30409556
2019-06-13,242.5,244.0,240.0,240.0,33731724
2019-06-14,238.5,239.5,236.0,236.0,35403556
2019-06-17,231.5,235.0,230.5,233.0,51692012
2019-06-18,234.0,235.5,233.0,235.5,28798087
2019-06-19,242.5,244.0,240.5,244.0,50234372
2019-06-20,242.0,245.5,241.0,245.0,39717291
2019-06-21,248.0,248.5,246.0,248.5,62136304
2019-06-24,241.0,242.0,240.0,241.0,43460507
2019-06-25,241.0,241.5,237.0,238.5,29735283
2019-06-26,235.0,236.5,234.0,234.5,28770041
2019-06-27,236.0,241.5,236.0,240.5,42007834
2019-06-28,241.5,241.5,238.0,239.0,28085212
2019-07-01,245.5,250.0,245.0,248.5,66370875
2019-07-02,249.5,250.0,247.5,249.0,26832202
2019-07-03,244.0,245.0,242.0,242.5,29549774
2019-07-04,244.5,245.0,242.5,244.0,18691240
2019-07-05,244.5,245.0,241.5,243.0,27317074
2019-07-08,240.0,244.5,240.0,242.5,29190909
2019-07-09,241.5,243.0,240.5,242.0,16538987
2019-07-10,243.0,247.0,243.0,247.0,23812131
2019-07-11,250.0,250.0,247.5,250.0,31296289
2019-07-12,252.0,252.0,249.5,250.5,23868432
2019-07-15,251.0,254.5,249.5,254.5,34264300
2019-07-16,254.0,256.5,253.5,256.0,26141249
2019-07-17,254.0,254.0,251.0,252.0,34346648
2019-07-18,252.0,254.5,251.5,254.0,20908575
2019-07-19,259.5,261.0,259.0,259.0,59879798
2019-07-22,263.0,264.0,262.0,264.0,31863639
2019-07-23,265.5,266.5,262.5,264.0,29273223
2019-07-24,266.5,266.5,263.0,265.0,24511039
2019-07-25,264.0,265.0,261.5,265.0,30698545
2019-07-26,261.0,262.5,261.0,261.0,20768071
2019-07-29,260.0,262.0,259.5,261.0,18473320
2019-07-30,262.5,263.0,260.0,260.0,22895612
2019-07-31,260.0,260.0,257.0,259.5,36365601
2019-08-01,257.5,257.5,255.5,256.5,30107526
2019-08-02,252.0,253.5,250.5,251.5,54165644
2019-08-05,251.0,252.0,245.5,246.5,52835721
2019-08-06,240.0,250.0,240.0,248.5,58916879
2019-08-07,250.0,250.5,246.5,248.0,29435460
2019-08-08,248.0,254.0,248.0,253.5,30140266
2019-08-12,254.5,254.5,251.0,251.0,24732603
2019-08-13,249.0,249.5,246.5,246.5,25045107
2019-08-14,252.5,254.0,249.5,249.5,36336703
2019-08-15,247.0,248.5,246.0,248.0,28277412
2019-08-16,249.5,252.0,248.0,250.0,25696715
2019-08-19,251.5,253.0,250.5,252.0,25098514
2019-08-20,254.0,254.5,252.5,254.5,20620494
2019-08-21,254.5,255.0,253.0,254.5,20269296
2019-08-22,257.0,257.5,254.0,254.0,22136840
2019-08-23,253.5,254.5,253.0,254.0,14772877
2019-08-26,249.0,250.5,248.5,248.5,31740620
2019-08-27,250.5,251.0,248.5,250.0,53664951
2019-08-28,250.5,253.0,250.5,252.0,15280882
